,Job Title,Company Name,Salary From,Salary To,Region,Full Address,Apply URL,Vacancy URL,Publication Time,Archived,Requirements,Responsibilities
26,"Продавец-кассир (ТЦ ""Форум"")",Глория Джинс Каспиан,,,Алматы,"Алматы, проспект Сакена Сейфуллина, 617",https://hh.ru/applicant/vacancy_response?vacancyId=109427667,https://hh.ru/vacancy/109427667,2024-10-28T08:57:27+0300,False,"Не имеешь опыта работы, но готов обучаться. Готов работать в интенсивном режиме. Дружелюбный, общительный.",Консультируют покупателей. Пополняют товар и поддерживает порядок в торговом зале. Ведут полный цикл работ с кассовым аппаратом.
27,Педагог дополнительного образования,Нургалиева Б.Р.,200000.0,,Астана,"Нур-Султан (Астана), улица Шокана Валиханова, 5",https://hh.ru/applicant/vacancy_response?vacancyId=108941422,https://hh.ru/vacancy/108941422,2024-10-21T10:09:47+0300,False,"Если Вы: общительный, креативный человек. Находите точку соприкосновения и с ребенком, и взрослым. Открыты к новым знаниям. Сфера вашей ответственности:",Подача информации согласно методике. Контроль динамики и результатов по итогу занятий. Работа с документацией.
28,Администратор в студию танцев,Ru.Inc,150000.0,,Астана,"Астана, улица Динмухамеда Кунаева, 25",https://hh.ru/applicant/vacancy_response?vacancyId=108661001,https://hh.ru/vacancy/108661001,2024-10-15T11:00:15+0300,False,,Встречать и консультировать клиентов. Делать звонки. Обязательно продавать. Заполнять таблицы и отчёты. Работа в системе CRM. Вести учет занятий и...
29,Администратор в образовательном центре,Fibonacci,300000.0,500000.0,Алматы,"Алматы, проспект Абая, 143",https://hh.ru/applicant/vacancy_response?vacancyId=107033907,https://hh.ru/vacancy/107033907,2024-10-28T09:59:23+0300,False,Возможность работать полный день. Высшее образование приветствуется. Знание русского языка в совершенстве. Отличное владение MS Office (в особенности MS Excel). ,"Снабжение офиса: заказ воды, покупка/заказ канцелярских товаров и прочее. Поддержка обратной связи с клиентами Заказчика. Контроль <highlighttext>преподавателей</highlighttext> и работников..."
30,Куратор учебного центра,ERA KZ,150000.0,300000.0,Алматы,"Алматы, проспект Достык, 97Б",https://hh.ru/applicant/vacancy_response?vacancyId=107903350,https://hh.ru/vacancy/107903350,2024-09-30T08:20:42+0300,False,Отличные организационные и коммуникативные навыки. Умение работать в режиме многозадачности и быстро принимать решения. Знание основ документооборота и работы с...,"Координирует учебный процесс, организует занятие и следит за соблюдением расписания. Взаимодействует с <highlighttext>преподавателями</highlighttext> и студентами, решая административные вопросы и обеспечивая..."
31,Преподаватель Английского языка в KILC,КАЗАХСТАНСКИЙ МЕЖДУНАРОДНЫЙ КОЛЛЕДЖ,200000.0,300000.0,Астана,,https://hh.ru/applicant/vacancy_response?vacancyId=109422130,https://hh.ru/vacancy/109422130,2024-10-28T07:37:48+0300,False,"Образование ""Переводческое дело""(обязательно). Наличие сертификатов CELTA / TESOL / IELTS / TOEFL / FCE приветствуется. Опыт работы преподавания. Коммуникабельность, Отзывчивость, Любовь к своему...",Проведение занятий. Подготовка. Планирование. Контроль процесса обучения.
32,Преподаватель в школу английского языка «English Classes»,English classes,150000.0,300000.0,Алматы,,https://hh.ru/applicant/vacancy_response?vacancyId=109145261,https://hh.ru/vacancy/109145261,2024-10-23T14:25:08+0300,False,Владение английским – не ниже уровня Upper Intermediate. Опыт преподавания детям в возрасте 6 - 12 лет. Профильное и/или лингвистическое образование.,"Проведение групповых и индивидуальных занятий детям, взрослым и корпоративным клиентам разных уровней. Преподавание в формате офлайн и онлайн. "
33,Преподаватель английского языка онлайн,Махмутов,150000.0,300000.0,Алматы,,https://hh.ru/applicant/vacancy_response?vacancyId=109470950,https://hh.ru/vacancy/109470950,2024-10-28T15:00:13+0300,False,,Проведение и подготовка уроков. ⁃ Проверка выполнения домашних заданий. ⁃ Подготовка дополнительных материалов по запросу.
34,Ассистент (-ка) преподавателя,Баққожа,250000.0,,Алматы,,https://hh.ru/applicant/vacancy_response?vacancyId=108917162,https://hh.ru/vacancy/108917162,2024-10-21T06:25:19+0300,False,Организационные навыки. Законченное образование или еще учиться. Навыки коммуникации.,Поддержка <highlighttext>преподавателя</highlighttext> на занятиях. Проверка домашних заданий. Работа с отстающими учениками. Помощь в организации групповых упражнений.
35,Менеджер коммерческого отдела в школу Quantum Tech School,BI Education,,,Астана,Атырау,https://hh.ru/applicant/vacancy_response?vacancyId=109025757,https://hh.ru/vacancy/109025757,2024-10-22T08:30:03+0300,False,Опыт работы от 1 до 3 лет.,"Координирует работу школьных кружков, секций и других внешкольных активностей. Взаимодействует с <highlighttext>учителями</highlighttext> и администрацией для эффективного планирования учебного процесса, экскурсий..."
